uf,municipio,logradouro,complemento,bairro,telefone,id
BA,Salvador,Avenida Joana Angélica,1311 - - Até 1113 - Lado ??mpar,Nazaré,(71) 3321-0983,9098
BA,Riacho de Santana,Rua Duque de Caxias,192 -,Centro,(77) 9835-9869,1070885
BA,Salvador,Rua Theodomiro Baptista,422 - Morro das Vivendas,Rio Vermelho,(71) 3205-1710,657872
BA,Salvador,Rua Professora Guiomar Florence,191 -,Parque Bela Vista,71 21012333,1074670
BA,Salvador,Rua do Queimado,17 - Térreo,Lapinha,71 33198300,1056438
BA,Salvador,Rua dos Marçons,364 - Cidade da Luz,Pituba,81-996491504,1056891
BA,Salvador,Avenida Jorge Amado,780 -,Boca do Rio,11 5586 4291,1058882
BA,Sao Felix do Coribe,Praça 14 de Maio,21 -,Centro,43-33717473 31 21260820,3195
BA,Salvador,Avenida Joana Angélica,1380 - - de 1114 Ao Fim - Lado Par,Nazaré,(11)55864290,1058475
BA,Salvador,Avenida Prof. Pinto de Aguiar,2589 -,Pituaçu,71-3206-7874,2758
BA,Salvador,Avenida Dom João Vi,57 - - de 2 A 99998 - Lado Par,Brotas,71 8613 3948/ 71 3233 4396,1065821
BA,Salvador,Loteamento Parque São José,S/n -,Cajazeiras,(43) 3371-7473  (31) 2126-0820,1051596
BA,Salvador,Avenida Tancredo Neves,2131 -,Caminho das ??rvores,(71)3273-8161,696292
BA,Salvador,Estrada do Mandu,186 -,Pau da Lima,7932182160,1059347
BA,Monte Santo,Rua Demonstenes Barreto,S/n -,Colina Ii,75 3275-1437,13799
BA,Remanso,Avenida Jesuino Oliveira de Souza,- Lt - 52/148,Vila Santana,(62)30949494,1033837
BA,Remanso,Rua Dr. José Seabra,58 - Quadra 8,Centro,(43) 3371-7473  (31) 2126-0820,3175
BA,Mucuge,Praça dos Garimpeiros,Sn -,Centro,7132068002,1063233
BA,Nazare,Praça Dr Alexandre Bittencourt,5 -,Centro,(075) 3636-2533,6274
BA,Lauro de Freitas,"Estrada do Coco Km 4,5",S/n -,Centro,(71) 32899800,658867
BA,Lauro de Freitas,Rua Noêmia Paranhos,"S/n - Quadra A, Lote 23 - Condomínio Moradas do Sol",Centro,08000987654,7331
BA,Salvador,Rua Miguel Calmon,22 -,Comércio,7132068002,1063422
BA,Jeremoabo,Avenida Recife,S/n -,Centro,7532792210,1065822
BA,Jeremoabo,Travessa 02,S/n - Polo 51,Centro,(75) 9884-94353,1084886
BA,Salvador,Rua Rubem Berta,138 -,Pituba,7133688348,1067699
BA,Jequie,Avenida Rio Branco,189 -,Centro,(73) 3525-4675,9332
BA,Juazeiro,Rua Minas Gerais,8 -,Santo Antônio,74 3612-5776,2003360
BA,Salvador,Estrada do Coqueiro Grande,223 - Polo de Apoio Presencial de Salvador/ba - Unidade 2,Cajazeiras,(47) 3301-9132,1084859
BA,Juazeiro,"Av. Mestre Lula, 421, ?? Alto da Maravilha .",222 - Blc 1,Centro,(43) 3371-7473 (31) 2126-0820,24131
BA,Santa Barbara,Av. Patrício São Paulo,990 - Polo 46,Centro,(75) 9992-67100,1084895
BA,Juazeiro,Rua Paraíso,800 -,Santo Antônio,(74) 3611 7672,659465
BA,Juazeiro,Rua Canadá,60-a -,Coréia,08000987654,7006
BA,Itabuna,Praça José Bastos,55 -,Centro,(73) 3214 2400,658646
BA,Jaguaquara,Rua Pedro Tavares Cafezeiro,333 -,Palmeira,(43) 3371-7473  (31) 2126-0820,1059482
BA,Itiuba,Rua Antônio Simões de Carvalho,15 -,Centro,(074) 3546-1942,6267
BA,Itaberaba,Rua Alfredo Rayne,280 -,Centro,(43) 3371-7473  (31) 2126-0820,3153
BA,Luis Eduardo Magalhaes,Rua Pará,2.280 - Lote 08/b,Mimoso do Oeste,0,659664
BA,Irece,Rua Dom Bosco,S/n -,Centro,(74)3641-3565,20712
BA,Ipira,Rua Josete Barreto,60 -,Tambori,75 8841 8071,1065746
BA,Macaubas,Rua José Augusto Santana,204 -,Alto do Alexandrino,(43) 3371-7473  (31) 2126-0820,4292
BA,Irece,R. Dom Bosco,S/n - Polo 50,Centro,(74) 9994-99620,1084934
BA,Ilheus,Avenida Itabuna,1491 - Centro Comercial Gabriela Center,Centro,(73) 3222-2230,1050955
BA,Ilheus,Rua Maria Quitéria,S/n -,Centro,08002840212,7956
BA,Ibiassuce,Rua Manoel Goncalves,61 -,Centro,7734652154,2008191
BA,Itabuna,Rua Ruffo Galvão,211 - Térreo (fundos),Centro,(41) 3622-2270,24646
BA,Ilheus,Rodovia Ilheus-olivenca,"S/n - Km 2,5",Jardim Atlantico Ii,(73) 21011700,659289
BA,Guanambi,Avenida Governador Nilo Coelho,4911 -,São Sebastião,7734518430,1065295
BA,Guanambi,Rua Olavo Bilac,125 -,Centro,(43) 3371-7473  (31) 2126-0820,3130
BA,Guanambi,Avenida Atilo Pereira de Oliveira,S/n -,Centro,08000987654,7980
BA,Lauro de Freitas,Avenida Luis Tarquínio Pontes,600 -,Centro,(31) 21260820,105057
BA,Feira de Santana,Rua Juracy Magalhães,222 - Prédio,Ponto Central,(75) 3616-9466,137974
BA,Feira de Santana,R. Barão de Cotegipe,1130 -,Centro,7132068048,1060207
BA,Mundo Novo,R. Numa Alves Barreto,S/n - Polo 45,Centro,(74) 9991-04130,1084333
BA,Feira de Santana,Avenida Maria Quitéria,2116 -,,75 21029100,1065948
BA,Ipira,Rua Manoel Oliveira e Silva,127 -,Campus Universitário,(75) 32543280,699798
BA,Feira de Santana,Rua Barão de Cotegipe,765 - Polo 28,Centro,(75) 9919-91919,1084902
BA,Feira de Santana,Rua Jairzinho,1-a - Polo 29,Cidade Nova,(75) 3224-2414,1083454
BA,Itabuna,Avenida José Soares Pinheiro,1191 -,Centro,73 21023033,1047527
BA,Feira de Santana,Caminho 1,07 - Polo 30,Mangabeira,(75) 3623-7773,1084347
BA,Feira de Santana,Avenida Getúlio Vargas,3347 -,Santa Mônica,(75)2101-9737,9242
BA,Feira de Santana,Caminho 16,16/18 - Polo 26,Tomba,(75) 3022-6705,1084345
BA,Mata de Sao Joao,Rua Júlio Veríssimo,197 -,Centro,71 3635 1043/ 9956 5082,1065759
BA,Feira de Santana,Rua Monte Verde,200 - Polo 35,Conceição I,(75) 3030-3154,1084918
BA,Feira de Santana,"Rua A, Caminho 02",13 - Polo 32,Campo Limpo,(75) 9921-74558,1084335
BA,Feira de Santana,Rua L,103 - Polo 36,Feira X,(75) 3225-7422,1084910
BA,Feira de Santana,Rua Caraíbas,421 - Polo 34,Ponto Central,(75) 9919-98990,1084342
BA,Feira de Santana,Rua Arivaldo de Carvalho,518 B - Polo 33,Sobradinho,(75) 9831-09010,1084340
BA,Feira de Santana,Rua Antônio Carlos Magalhães,1068 - Polo 31,Mangabeira,(75) 9919-27349,1084337
BA,Feira de Santana,Rua Artemia Pires Freitas,S/n -,Sim,(75)3602-7031,658223
BA,Feira de Santana,Rua Georgina Erisman,205 -,Centro,(75) 3604-9950,20709
BA,Feira de Santana,Rua Barão de Cotegipe,917 - - de 557 A 1061 - Lado ??mpar,Centro,(81)996491504,1059838
BA,Feira de Santana,Av. João Durval Carneiro,3039 - Polo 38,São João,(75) 3223-1989992720635,1084848
BA,Feira de Santana,Rua Barão do Rio Branco,356 -,Serraria Brasil,(43) 3371-7473  (31) 2126-0820,2008481
BA,Feira de Santana,Rua Professor Leonídio Rocha,200 -,Centro,(75)4009-9119,1040869
BA,Formosa do Rio Preto,Rua do Egito,1314 -,Centro,(43) 3371-7473  (31) 2126-0820,8044
BA,Feira de Santana,Avenida Deputado Luís Eduardo Magalhães,Sn -,Subaé,(71) 3368-8348,1075985
BA,Cruz das Almas,Rua Mata Pereira,410 -,Centro,75 8174 1142 / 75 3621 2612,1065787
BA,Cruz das Almas,Br-101; Km 212. Estrada de Cruz das Almas-governador Mangabeira. Zona Rural,S/n -,Sungaia,75-33127000,1058794
BA,Eunapolis,"Rod. Br 367, Km 14",S/n - Eunápolis/porto Seguro,Zona Rural,(73) 3281-4342,659247
BA,Feira de Santana,Avenida Presidente Dutra,S/n - Colégio Santo Antônio,Capuchinhos,75 2101--5656,659207
BA,Feira de Santana,Rua Rio Tinto,152 -,Santa Mônica,(71) 3271-8163,6801
BA,Paulo Afonso,Avenida Vereador José Moreira,850 -,Centro,7932182160,1059349
BA,Condeuba,Rua Dr. Tranquilino Torres,88 -,Centro,(077) 3445-2133,6262
BA,Catu,Rua José Floriano Lago,S/n - Polo - Catu,Centro,(75) 9983-5526,1084568
BA,Campo Formoso,Vital Brasil,114 -,Centro,(74)3645-1786,10750
BA,Encruzilhada,Rua Benjamin Constant,10 -,Baixinha,(43) 3371-7473  (31) 2126-0820,3095
BA,Ituacu,R. Plinio de Castro,Sn -,Centro,7130268002,1063229
BA,Camacari,Rua Francisco Drumond,48 -,Centro,71 3622 6156,2005947
BA,Camacari,Avenida Jorge Amado,S/n -,Ponto Certo,(71) 2101-3250,4223
BA,Cachoeira,Br 101 Km 197,S/n - Estrada Capueiruçu,Capueiruçu,(75) 3425-8029/8014,659863
BA,Bom Jesus da Lapa,Travessa 1 Aeroporto,S/n -,Consolação,(43) 3371-7473  (31) 2126-0820,4038
BA,Camacari,Rua Eixo Urbano Central,36 -,Centro,(71)3040-0120,27926
BA,Barreiras,Avenida São Desidério,2440 -,Ribeirão,(77) 3613-8800,658332
BA,Feira de Santana,Avenida Deputado Luís Eduardo Magalhães,S/n -,Subaé,75 3624-3751,1065420
BA,Alagoinhas,Praça Rui Barbosa,"S/nº - Anexo ?? Biblioteca Pública, Denominada Prédio Maria Feijó",Centro,7132068048,1060208
BA,Barreiras,Rua 24 de Outubro,305 -,Centro,(43) 3371-7473  (31) 2126-0820,3072
BA,Alagoinhas,Rua Lauro de Freitas,243 -,Centro,75 9101 6131,1065757
BA,Alagoinhas,Rua Quinze de Novembro,925 A -,Santa Isabel,(75)34223527,1064846
BA,Barreiras,Praça Duque de Caxias,08 -,Centro,08000987654,2006835
BA,Alagoinhas,Rua Manoel Romão,S/n - Espaço Clube de Campo,Alagoinhas Velha,7133688348,659650
BA,Alagoinhas,Rua Marechal Deodoro,118 -,Centro,(75)3182-3182,658499
BA,Paulo Afonso,Avenida Vereador José Moreira,1000 -,Centro,(75) 3281 0064,659043
BA,Alagoinhas,Rua Quinze de Novembro,203 - Polo - Alagoinhas,Santa Isabel,(75) 9997-16845,1084569
BA,Alagoinhas,Rua Elvira Dória,277 -,Parque José Dória,(43) 3371-7473  (31) 2126-0820,6954
AP,Santana,Rua Salvador Diniz,633 -,Centro,(96) 3283-2454,2003338
BA,Alagoinhas,Rua Lauro de Freitas,198 -,Centro,(75) 3421 4733 e 3421 1416,659435
BA,Jacobina,Rua Antonio Vieira de Mesquita,910 -,Felix Tomaz,7532792210,1069246
BA,Barreiras,Rua Ibirapuera,727 -,Jardim Imperial,(77)36141000,1051366
BA,Araci,Rua Jose Pinheiro,485 -,Centro,75 3266 2209,1065778
AM,Tabatinga,Rua Marechal Mallet,S/n -,Centro,(97)3412-3505,11342
BA,Jacobina,Rua Artur Diniz Veloso,360 -,Centro,08000987654,2004095
AM,Tabatinga,Avenida Amizade,2419 - Am - Tabatinga - Polo Ead,São Francisco,(41) 3235-6650,1085132
AM,Itacoatiara,Avenida Conselheiro Ruy Barbosa,887 -,Centro,(43) 3371-7473  (31) 2126-0820,2006918
AP,Macapa,Rodovia de Duca Serra,"S/n - - Até Km 0,003",Alvorada,(96) 3261 2133,1037580
BA,Camamu,Rua 27 de Junho,93 -,Centro,71 8635 6486,1065947
AP,Macapa,Rua Pedro Siqueira,333 -,Jardim Marco Zero,(96) 3241 6636,659688
AP,Macapa,Rua Guanabara,333 -,Pacoval,(96) 3223-5228,1036438
BA,Barreiras,Avenida Antonio Carlos Magalhães,417 -,Loteamento Flamengo,7132068002,1063639
AP,Macapa,Avenida José Tupinambá de Almeida,1202 -,Laguinho,(96) 3223-7924,1051172
AP,Macapa,Rua Guanabara,333 - A -,Pacoval,(43) 3371-7473  (31) 2126-0820,1051629
AP,Macapa,Rodovia Juscelino Kubitschek,S/n - Km 01,Jardim Equatorial,(96) 3312-2201,659119
AP,Macapa,Avenida Antônio Coelho de Carvalho,1811 -,Central,(81) 96491504,1065740
AM,Coari,Rua Gonçalves Ledo,554 -,Espírito Santo,(97)3561-2142,10562
BA,Caetite,Travessa Avenida Contorno,170 -,São José,(077) 3454-2643,6280
BA,"Dias D""avila",Rua Padre Camillo Torrend,43 -,Centro,71 9292 0070 / 71 9989 1597,1065749
AL,Maceio,Rua Sá e Albuquerque,574 -,Jaraguá,(82) 2121-8827,9209
AP,Macapa,Av. Fab,1465 -,Centro,(96) 3223-9234,22393
AL,Maceio,Rua Jornalista Arnóbio Valente Filho,59 -,Gruta de Lourdes / Farol,(11) 5586-4295,1077854
BA,Alagoinhas,Rua Quinze de Novembro,37 -,Centro,(75)3421-0878,2005642
AL,Maceio,Rua Professor Sandoval Arroxelas,239 -,Ponta Verde,(82)3036-2299,658536
AP,Macapa,Avenida Padre Júlio Maria Lombaerd,958 -,Central,96 3223-1497,6245
AL,Maceio,Rua Pio Xii,355 -,Jatiúca,82 21232081,658383
AL,Maceio,Avenida Gustavo Paiva,5.017 -,Cruz das Almas,(82)3311-3120,659862
BA,Barra,Rua Luiz Viana Filho,S/n -,São João,(43) 3371-7473  (31) 2126-0820,4037
AL,Maceio,Avenida Doutor Durval de Góes Monteiro,8443 -,Tabuleiro do Martins,82 3338-2800,6239
AL,Maceio,Alameda Dr. Claudionor de Albuquerque Sampaio,796 -,Farol,(43) 3371-7473  (31) 2126-0820,2008446
AL,Maceio,Rua Barão de Jaraguá,398 -,Jaraguá,(82)33268069,1055274
AL,Maceio,Avenida Meirim,S/n -,Benedito Bentes,7932182160,2004826
AM,Jurua,Rua Senador João Bosco,4 - Polo e Apoio Presencial de Juruá/am,Centro,(47) 3301-9132,1083855
AM,Manaus,Av. Djalma Battista,2100 -,Chapada,(092) 3071-7271,6242
AL,Delmiro Gouveia,"Av. Presidente Castelo Branco,",806 -,Centro,82 3641-1008,6237
AL,Maceio,Av. Durval de Góes Monteiro,4354 -,Tabuleiro do Martins,82 - 3223-0033,1043795
AM,Manaus,Avenida Cosme Ferreira,631 - Polo de Apoio Presencial de Manaus/am - Unidade 2,Aleixo,(47) 3301-9132,1083934
AL,Maceio,Avenida Menino Marcelo,3800 -,Cidade Universitária,(31) 2126.0789,1046095
AM,Manaus,Avenida Djalma Batista,122 - - de 436/437 Ao Fim,Chapada,92 988550938,1066294
AM,Manaus,Avenida Dom Pedro I,151 -,Dom Pedro,(92)36551200/36551246/36551225,659261
AM,Manaus,Avenida Djalma Batista,377 - - Até 434/435,Nossa Senhora das Graças,08134134611,1071281
AM,Manaus,Avenida Constantino Nery,3000 -,Chapada,2101 1000 | 2101 1025,659007
AM,Manaus,Avenida Cosme Ferreira,5122 -,Zumbi dos Palmares,9221254659,1055700
AM,Manaus,Av. Joaquim Nabuco,1.365 -,Centro,(92) 32125071,705097
AM,Manaus,Avenida Mário Ypiranga,4.390 -,Parque 10 de Novembro,(92) 643.3800,377
AM,Manaus,Av. ??lvaro Botelho Maia,291 -,São Geraldo,(92)3633-2627,9905
AM,Manaus,Avenida Ramos Ferreira,954 -,Centro,A definir,1077948
AM,Manaus,Avenida 7 de Setembro,1936 -,Centro,(43) 3371-7473  (31) 2126-0820,24201
AM,Manaus,Avenida Djalma Batista,377 - - Até 434/435,Nossa Senhora das Graças (chapada),(81) 3413-4611,1060539
AM,Manaus,Rua Natal,300 -,Adrianópolis,(092)2121-0951/(092) 2121-0901,658438
AC,Rio Branco,Br 364 Km 02,200 - Alameda Hungria,Jardim Europa Ii,(68) 3302-7070,658996
AC,Rio Branco,Avenida Ceará,2181 -,Centro,(68)3223-4050,24632
AC,Rio Branco,Estrada Dias Martins,894 -,Jardim Primavera,(68) 2106-8200,695587
AC,Rio Branco,Estrada Alberto Torres,947 - - Até 799/800,Conjunto Mariana,(68) 3226 1501,1066379
AC,Rio Branco,Rua Rubens Carneiro,536 -,Abrão Alab,(81)34134611,1065687
AC,Cruzeiro do Sul,Rua Rui Barbosa,587 -,Centro,(068) 3322-5058,6235
AC,Cruzeiro do Sul,Avenida Cel. Mâncio Lima,500 -,Centro,(68) 3322-1505,1036426
AP,Oiapoque,Rua Presidente Kennedy,321 -,Centro,96 3521-1763,6246
TO,Palmas,Quadra 602 Sul - Avenida Joaquim Teotônio Segurado - Conjunto 01 Lote 17,-,Plano Diretor Sul,(63) 3214-2223,1051491
AL,Maceio,Avenida Engenheiro Paulo Brandão Nogueira,160 - Loteamento Stella Maris,Jatiúca,11 5586 4291,658968
AC,Rio Branco,Rua Manoel Rodrigues de Souza,261 -,Bosque,68 - 32263733,6200
AC,Cruzeiro do Sul,Rua Rego Barros,1.230 -,Centro,0,22913
AL,Arapiraca,Rua Dom Felício Vasconcelos,320 -,Centro,(81)96491504,1065684
SP,Sorocaba,Rua Padre José Manoel de Oliveira Liborio,77 -,Centro,(15) 3233-1221,1059239
SP,Sao Jose do Rio Preto,Rua da Cultura,252 -,Jardim Santa Catarina,(17) 3226-4047,21114
SP,Sao Paulo,Rua Martin Francisco,636 -,Santa Cecília,(11) 3823-5969,4019
AC,Sena Madureira,Avenida Avelino Chaves,951 -,Centro,068 9968-4687,2006791
SP,Presidente Prudente,Rua Pe. João Goetz,632 -,Jd. João Paulo Ii,(18) 3928-1260,1059562
AL,Arapiraca,Avenida Deputada Ceci Cunha,47 -,Alto do Cruzeiro,82 3539-1259,2005917
SP,Santo Andre,Rua Coronel Fernando Prestes,326 -,Centro,(11) 2896-6140,3948
SP,Ribeirao Preto,Avenida do Café,1305 -,Vila Amélia,1636601666,1071288
AL,Arapiraca,Rua Nossa Senhora de Fátima,"111 - Alto do Cruzeiro, Parque Ceci Cunha",Alto do Cruzeiro,7932182100,1059337
SP,Sao Carlos,Rua Episcopal,1859 -,Centro,(16) 3411-2490,1059566
SP,Guaratingueta,Praça Joaquim Vilela,360 -,São Benedito,(12) 3132-7585,3946
SP,Mogi das Cruzes,Rua Senador Dantas,284 -,Centro,(11) 2896-8274,4018
SP,Osasco,Rua Batista de Azevedo,317 -,Centro,(11) 3682-0519,1059192
SP,Sao Paulo,Rua ??lvares Penteado,139/184/216/231 -,Centro,11 2173 4722,657911
SC,Florianopolis,Rua Esteves Júnior,696 -,Centro,(48) 3028-4478,1060673
RS,Porto Alegre,Rua Ramiro Barcelos,996 -,Moinhos de Vento,(51) 3095-2705,1059193
RO,Ji-parana,Rua Vilagran Cabrita,1533 -,Centro,(69) 3416-4212,21091
SP,Barretos,"Rua Nº 28, 844, Centro.",844 -,Centro,(17) 3323-7795,3943
AL,Maceio,Avenida Dom Antônio Brandão,204 -,Farol,(82) 3236 2640,658221
PR,Maringa,Avenida Brasil,5354 -,Zona 05,(44) 3031-3531,1059555
MG,Uberaba,Rua Sete de Setembro,240 -,Estados Unidos,(34) 3331-0198,1060112
MS,Dourados,Rua Oliveira Marques,2140-a -,Centro,1636601666,1071210
SP,Sao Jose dos Campos,Rua Barão do Rio Branco,959 -,Jardim Esplanada,(12) 3923-7371,3949
MG,Passos,Rua Cristiano Stockler,271 -,Centro,1636601666,1071287
MS,Campo Grande,Rua Pernambuco,1533 -,Vila Gomes,(67) 3321 6820,1051372
MS,Campo Grande,Rua Coronel Cacildo Arantes,322 -,Chácara Cachoeira,(67) 3901-2878,693572
RR,Boa Vista,Av. dos Bandeirantes,900 -,Pricumã,(95) 3621-7200,1051540
MG,Uberlandia,Avenida ??frica,1140 -,Tibery,(34) 3211-957,1058809
MG,Belo Horizonte,Rua Aimorés,1583 -,Lourdes,(31) 3555-7711,21026
DF,Brasilia,??rea Especial Para Igreja Católica,S/n -,"Setor ""c"" 7b",(61) 3451-9326,21119
ES,Vitoria,Rua Desembargador José Batalha,235 - Fundação,Lourdes,(27) 3207-2781,2006739
MG,Governador Valadares,Rua Tiradentes,312 -,Centro,1636601666,1071097
BA,Vitoria da Conquista,Av. Pernambuco,436 -,Brasil,(77) 3421-4975,1051490
SP,Sao Paulo,Rua Vergueiro,1211 -,Aclimação,(11)21661000,10095
RO,Vilhena,Av. Brigadeiro Eduardo Gomes,50 -,Jd. Eldorado,(69) 3322-1308,1051357
MG,Pocos de Caldas,Rua Rio Grande do Sul,1.483 - - de 1119/1120 A 1561/1562,Centro,(35) 3722-2384,1058808
SP,Salto,Praça Antônio Vieira Tavares,73 - Campus V,Centro,11 - 4028-8800,1884
CE,Fortaleza,Avenida Frei Cirilo,4454-a -,Messejana,1636601666,1071133
SP,Ribeirao Preto,Avenida Eduardo Andréa Matarazzo,891 -,Via Norte,(16) 3512-4723,106497
MG,Pouso Alegre,Praça Dom Otavio,270 -,Centro,(35) 3425-9666,1060110
SP,Guarulhos,Praça Tereza Cristina,88 -,Centro,81996491504,103202
MG,Diamantina,Rua Tijuco,473 -,Centro,1636601666,1071106
SP,Santa Barbara D`oeste,Rua Juscelino Kubitschek de Oliveira,1450 -,2º Distrito Industrial,(19)3512-0500,659772
SP,Rio Claro,Rua 22 Be,669 -,Chácara Luza,(31) 21260820,659714
MG,Uberaba,Av. do Tutuna,720 - Caixa Postal: 247,Tutunas,(34) 3318 4188,687638
SP,Araraquara,Avenida Alberto Benassi,200 -,Parque das Laranjeiras,(016) 3336-1800,365
SP,Campinas,Rua Sales de Oliveira,1661 -,Vila Industrial,(19) 4501 2667 ou (11) 45019706 ou 9775,659396
SP,Bauru,Avenida Moussa Nakhl Tobias,3-33 -,Parque Residencial do Castelo,(14)3237-6272,660075
SP,Campinas,"Rua Sales de Oliveira, Nº 2000.",271 -,Castelo,(19) 3211-1500,21070
SC,Joinville,Rua Presidente Campos Salles,850 -,Glória,(47) 3027-8888,660101
RS,Erechim,Rs 331,S/n -,Demolinder,(54) 35209000,600037
RS,Porto Alegre,Rua General Vitorino,25 -,Centro,(51) 32541111,136324
TO,Guarai,Avenida Jk,2541 -,Setor Universitário,63 3464-1289,659464
MG,Ipatinga,Rua Estados Unidos,606 -,Cariru,1636601666,1071137
SP,Piracicaba,Rua Santa Catarina,S/n - Sítio Santa Neuza I,Piracicamirim,(19) 3428-1237,659895
RS,Santa Maria,Rua dos Andradas,1.614 -,Centro,(55) 3220-1214,657887
SP,Sao Bernardo do Campo,Avenida Dr. Rudge Ramos,1501 -,Rudge Ramos,(11) 4362-9027,1193
SP,Sao Paulo,Rua Augusta,1520 - 1508 A,Consolação,(11) 3257 4088,1055967
SP,Sao Jose do Rio Pardo,Rua Jorge Tibiriçá,451 -,Centro,S/N,2004689
SP,Santo Andre,Avenida Industrial,3330 -,Campestre,(11) 4991 9800,1002303
PR,Foz do Iguacu,Avenida Paraná,5.661 -,Vila A,45-30283232,658970
RS,Ijui,Rua São Francisco,501 -,São Geraldo,(55) 33320200,657956
PR,Maringa,Avenida Bento Munhoz da Rocha Netto,122 -,Centro,(44) 3226-1100,694483
PB,Cajazeiras,Rua Padre Ibiapina,S/n -,Centro,(83) 3531-3500 /3531-1266,658240
MG,Teofilo Otoni,Rua Engenheiro Celso Murta,600 -,Doutor Laerte Laender,(33) 3523-6170,1044463
AC,Rio Branco,Av. Ceará,2648 -,Centro,(68)3224-1560,1051499
MT,Cuiaba,Avenida Manoel José de Arruda,3001 -,Jardim Europa,(65) 3316-4000 / 4009-4022,658338
SP,Jundiai,Rua Bom Jesus de Pirapora,140 -,Centro,(11) 4527-3444,659716
SP,Catanduva,Rua dos Estudantes,225 -,Parque Iracema,(17) 3311-3209,134687
PE,Jaboatao dos Guararapes,Rua Comendador José Didier,27 -,Piedade,(81) 3461-5503,658779
SP,Bauru,Rua José Santiago,16-50 -,Vila São João do Ipiranga,14 2109-6200,1060027
GO,Goiania,Avenida T-2,1993 -,Setor Bueno,(62) 36079000,658088
DF,Brasilia,Sgas Quadra 613/614 - Av. L2 Sul,S/n - Lotes 97 e 98,Asa Sul,(61)3340-3747,1791
SP,Sao Paulo,Av. Santo Amaro,1239 - Fmu - Ibirapuera/av. Santo Amaro,Vila Nova Conceição,(11) 97342-7111,706435
SP,Sao Paulo,Estrada do Campo Limpo,3677 -,Campo Limpo,11-30149900,1056227
CE,Fortaleza,Av. Porto Velho,401 -,João Xxiii,(85)3299-9900,696081
AP,Macapa,Rodovia Duca Serra,S/n - Km 05,Cabralzinho,(96) 2101-0400,659291
SE,Aracaju,Rua Dom Jos- Thomaz,194 -,S-o Jos-,(79) 3024-1027,1084982
RS,Pelotas,Praça José Bonifácio,166 -,Centro,(53) 3305-2700,1051376
RN,Mossoro,Avenida Santa Luzia,173 -,Santa Delmira,1636601666,1071214
RJ,Rio de Janeiro,Rua Oto de Alencar,23 -,Maracanã,(21) 3178-6155,1060111
ES,Guarapari,Rodovia Jones dos Santos Neves,1.000 -,Lagoa Funda,(27)3361-8300,1049996
RO,Sao Miguel do Guapore,Rua Ipê,2090 -,Centro,0,2006734
BA,Salvador,Avenida Jorge Amado,780 -,Boca do Rio,11 5586 4291,1058883
MG,Belo Horizonte,Av. Raja Gabaglia,1306 -,Cidade Jardim,0,141048
SC,Florianopolis,Rua Salvatina Feliciana dos Santos,525 -,Itacorubi,(48) 3239 4700,105129
SC,Blumenau,Rua Engenheiro Udo Deeke,531 - - Lado ??mpar,Salto Norte,(47) 3281 9000,1042049
SP,Aracatuba,Rodovia Senador Teotônio Vilela,"Km 8,5 -",Alvorada,(18)3636-5252,3877
RS,Passo Fundo,Rua Angélica Otto,160 -,Loteamento São Geraldo,(54)33358900,140684
SC,Joinville,Rua Albano Schmidt,3333 - - de 3061 A 4469 - Lado ??mpar,Iririú,(47) 3461 0243,100040
SC,Itajai,Rua Brusque,162 -,Centro,(47) 3461-0110,1083852
PI,Teresina,Rua Walfran Batista,91 -,São Cristóvão,(86)3234-305,27691
BA,Feira de Santana,Av. João Durval Carneiro,3069 -,Estação Nova,(75) 3223-1804,1051374
AM,Manaus,Rua Juará (maromba),20 -,Chapada,(92) 3343-6773,1060674
AM,Manaus,Rua Huascar de Figueiredo,290 -,Centro,(92) 3212-5351,705077
PR,Guarapuava,Rua Senador Pinheiro Machado,2163 -,Centro,1636601666,1071212
SC,Sao Bento do Sul,Rua Hans Dieter Schmidt,879 -,Centenário,(47)36262222,8533
SP,Ribeirao Preto,Rua Ramos de Azevedo,423 -,Jardim Paulista,(16) 3603 6600,657741
RN,Mossoro,Avenida Presidente Dutra,701 -,Alto de São Manoel,(84) 3312.0143,659844
RJ,Rio de Janeiro,Rua Vinte e Quatro de Maio,797 -,Sampaio,2132894733,687214
SC,Jaragua do Sul,Rua Presidente Epitácio Pessoa,676 -,Centro,(47) 3371 0202,659533
AL,Maceio,Travessa Primavera,100 -,Pajuçara,(82) 3327-3277,2006743
PR,Londrina,Avenida Celso Garcia Cid,1523 - - de 957/958 Ao Fim,Vila Siam,44-30276360 ramal 1109,1065896
RJ,Rio de Janeiro,Rua Corrêa Dutra,126 -,Catete,(21) 35441131,704691
PR,Cascavel,Rua Rui Barbosa,611 -,Centro,(45) 3321-1300,475
RS,Porto Alegre,Rua Coronel Joaquim Pedro Salgado,80 - Terreo,Rio Branco,(51) 3316-1100,659713
PR,Curitiba,Avenida Iguaçu,333 -,Rebouças,(41) 3310 1500,133747
PR,Curitiba,Rua Jacarezinho,1000 -,Mercês,4133173016,1070338
RO,Rolim de Moura,Avenida 25 de Agosto,6961 -,São Cristóvão,(69)34421001,659281
PB,Joao Pessoa,Praça Caldas Brandão,S/n -,Tambiá,(83) 3214 4820,657842
PE,Recife,Avenida Caxangá,4.477 -,Iputinga,(81)3073-8877,32061
PB,Joao Pessoa,Avenida Monsenhor Walfredo Leal,512 -,Tambiá,(83) 3133 2900,659274
